"","Hot To-Go Cups","Cold To-Go Cups","Plastic Bags","Paper Bags","Black Plastic Containers","Other Colour Plastic Containers","Disposable Cutlery","Plastic Straws","Styrofoam Containers"
"486","A couple times a week","A couple times a week","A couple times a week","A couple times a year or less","A couple times a year or less","Every day or almost every day","A couple times a month","A couple times a month","A couple times a month"
"487","A couple times a month","A couple times a month","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a month"
"488","Never","Never","A couple times a month","A couple times a month","A couple times a month","A couple times a month","Never","Never","Never"
"489","A couple times a month","A couple times a year or less","A couple times a month","Never","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"490","A couple times a week","A couple times a month","A couple times a week","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less"
"491","A couple times a month","A couple times a year or less","A couple times a week","A couple times a month","A couple times a week","A couple times a month","Never","A couple times a month","A couple times a month"
"492","A couple times a month","A couple times a week","A couple times a week","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a week","A couple times a month"
"493","A couple times a year or less","A couple times a year or less","A couple times a week","A couple times a week","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"494","Never","Never","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less","Never"
"495","A couple times a year or less","A couple times a year or less","Every day or almost every day","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a year or less","Never"
"496","A couple times a week","A couple times a month","A couple times a week","A couple times a month","A couple times a month","A couple times a month","A couple times a week","A couple times a month","A couple times a month"
"497","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a month","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"498","Every day or almost every day","A couple times a week","A couple times a week","Never","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a week"
"499","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"500","A couple times a week","Never","Every day or almost every day","A couple times a week","A couple times a month","Every day or almost every day","Never","A couple times a year or less","Never"
"501","A couple times a week","A couple times a week","A couple times a week","Never","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month"
"502","A couple times a week","A couple times a week","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a week","A couple times a month","A couple times a week"
"503","A couple times a week","A couple times a week","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a month","A couple times a week","A couple times a week"
"504","Every day or almost every day","A couple times a week","A couple times a week","A couple times a month","A couple times a week","A couple times a month","Every day or almost every day","A couple times a week","A couple times a week"
"505","A couple times a year or less","A couple times a year or less","A couple times a year or less","Never","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"506","A couple times a week","A couple times a week","A couple times a month","A couple times a year or less","A couple times a month","A couple times a month","A couple times a week","A couple times a month","A couple times a month"
"507","A couple times a week","A couple times a week","A couple times a month","A couple times a month","Never","Every day or almost every day","Every day or almost every day","A couple times a year or less","A couple times a month"
"508","Every day or almost every day","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less"
"509","A couple times a week","A couple times a month","A couple times a week","Never","A couple times a month","A couple times a month","A couple times a month","A couple times a month","Never"
"510","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a month","Never","Never","A couple times a year or less","A couple times a year or less","A couple times a month"
"511","A couple times a week","A couple times a week","A couple times a month","A couple times a week","A couple times a month","A couple times a week","A couple times a week","A couple times a year or less","A couple times a year or less"
"512","A couple times a week","A couple times a month","A couple times a week","Never","A couple times a week","A couple times a week","A couple times a month","A couple times a year or less","A couple times a month"
"513","A couple times a month","A couple times a year or less","A couple times a month","A couple times a month","A couple times a week","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"514","A couple times a week","A couple times a week","A couple times a week","A couple times a week","Every day or almost every day","Every day or almost every day","A couple times a week","A couple times a week","Every day or almost every day"
"515","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a month","A couple times a year or less","Never","A couple times a month"
"516","A couple times a year or less","Never","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"517","A couple times a week","A couple times a year or less","A couple times a week","A couple times a week","A couple times a week","Every day or almost every day","A couple times a month","A couple times a year or less","Never"
"518","A couple times a week","A couple times a month","Every day or almost every day","Never","A couple times a month","A couple times a week","Never","A couple times a month","A couple times a year or less"
"519","A couple times a month","A couple times a year or less","A couple times a month","A couple times a year or less","Never","A couple times a year or less","Never","Never","Never"
"520","A couple times a week","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a week","A couple times a week","A couple times a year or less","A couple times a month"
"521","A couple times a year or less","Never","A couple times a year or less","Never","Never","Never","A couple times a year or less","Never","Never"
"522","A couple times a month","Never","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a month","A couple times a year or less","A couple times a month"
"523","A couple times a week","Never","A couple times a week","A couple times a week","Never","Never","A couple times a month","A couple times a year or less","A couple times a year or less"
"524","Every day or almost every day","A couple times a year or less","A couple times a month","Never","A couple times a year or less","A couple times a year or less","A couple times a year or less","Never","A couple times a year or less"
"525","A couple times a week","A couple times a month","A couple times a week","A couple times a week","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"526","Every day or almost every day","A couple times a week","A couple times a week","Every day or almost every day","Every day or almost every day","A couple times a week","A couple times a month","A couple times a year or less","A couple times a month"
"527","A couple times a week","A couple times a year or less","A couple times a week","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"528","A couple times a year or less","A couple times a month","A couple times a week","A couple times a year or less","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"529","A couple times a week","A couple times a week","A couple times a week","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a month"
"530","A couple times a month","A couple times a month","A couple times a week","A couple times a week","A couple times a month","A couple times a month","A couple times a year or less","A couple times a month","A couple times a month"
"531","Never","A couple times a month","Every day or almost every day","Never","Every day or almost every day","Never","Never","A couple times a month","Never"
"532","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","Never","Never","Never","Never","A couple times a year or less"
"533","A couple times a week","A couple times a month","Every day or almost every day","A couple times a month","A couple times a month","Every day or almost every day","A couple times a month","Never","A couple times a year or less"
"534","A couple times a month","A couple times a year or less","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a week","A couple times a week","A couple times a year or less","A couple times a month"
"535","A couple times a week","A couple times a month","A couple times a week","A couple times a month","A couple times a week","A couple times a week","A couple times a week","A couple times a month","A couple times a month"
"536","Every day or almost every day","A couple times a week","A couple times a month","A couple times a week","A couple times a week","A couple times a week","A couple times a week","Every day or almost every day","A couple times a week"
"537","A couple times a week","Every day or almost every day","Every day or almost every day","A couple times a year or less","A couple times a week","A couple times a week","Every day or almost every day","Every day or almost every day","Never"
"538","A couple times a year or less","Never","A couple times a month","Never","A couple times a month","A couple times a week","Never","Never","Never"
"539","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a week","A couple times a month","A couple times a year or less","A couple times a year or less"
"540","A couple times a month","A couple times a year or less","A couple times a month","A couple times a week","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"541","A couple times a week","Every day or almost every day","A couple times a week","Every day or almost every day","A couple times a week","Every day or almost every day","A couple times a week","A couple times a week","A couple times a week"
"542","A couple times a month","A couple times a year or less","Every day or almost every day","A couple times a year or less","Never","A couple times a month","A couple times a week","A couple times a month","A couple times a month"
"543","A couple times a month","A couple times a year or less","A couple times a week","A couple times a week","A couple times a month","A couple times a week","A couple times a week","A couple times a month","A couple times a month"
"544","Every day or almost every day","A couple times a month","A couple times a month","Never","A couple times a year or less","A couple times a month","A couple times a week","A couple times a year or less","A couple times a month"
"545","A couple times a week","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a year or less"
"546","A couple times a week","A couple times a month","A couple times a month","A couple times a month","A couple times a week","A couple times a week","Never","A couple times a year or less","Never"
"547","A couple times a week","Never","A couple times a week","Never","Never","Never","Never","Never","Never"
"548","A couple times a week","A couple times a week","Every day or almost every day","A couple times a month","Every day or almost every day","A couple times a week","A couple times a week","A couple times a week","A couple times a week"
"549","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","Never","A couple times a month","A couple times a year or less","A couple times a year or less"
"550","A couple times a week","A couple times a week","A couple times a year or less","A couple times a week","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a month","A couple times a year or less"
"551","A couple times a week","Never","A couple times a week","A couple times a week","Never","A couple times a month","Never","A couple times a month","A couple times a month"
"552","A couple times a week","Never","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a month","A couple times a year or less"
"553","A couple times a month","A couple times a month","A couple times a week","A couple times a year or less","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"554","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a month","A couple times a year or less","Never","Never","Never"
"555","A couple times a week","A couple times a week","Every day or almost every day","A couple times a month","A couple times a month","A couple times a month","A couple times a week","A couple times a week","A couple times a week"
"556","Every day or almost every day","A couple times a month","A couple times a month","A couple times a week","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"557","Never","Never","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"558","A couple times a week","Never","A couple times a month","A couple times a month","Never","A couple times a month","A couple times a week","A couple times a week","A couple times a month"
"559","A couple times a week","A couple times a month","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a year or less"
"560","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"561","Every day or almost every day","Every day or almost every day","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a week","Every day or almost every day","A couple times a week"
"562","A couple times a week","A couple times a month","Every day or almost every day","A couple times a month","A couple times a year or less","A couple times a month","A couple times a week","A couple times a week","A couple times a year or less"
"563","A couple times a week","A couple times a week","Every day or almost every day","A couple times a week","A couple times a week","A couple times a week","A couple times a month","A couple times a month","A couple times a month"
"564","Never","A couple times a year or less","Never","A couple times a year or less","A couple times a year or less","Every day or almost every day","Never","Never","Never"
"565","Never","Never","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"566","A couple times a year or less","A couple times a year or less","A couple times a year or less","Never","Never","Never","A couple times a year or less","A couple times a year or less","Never"
"567","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a week","Never","A couple times a week","Never","Never","Never"
"568","A couple times a week","A couple times a week","A couple times a year or less","A couple times a month","A couple times a month","A couple times a week","A couple times a week","A couple times a year or less","A couple times a month"
"569","Never","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less","Never","A couple times a year or less"
"570","A couple times a month","A couple times a year or less","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less"
"571","Every day or almost every day","A couple times a month","A couple times a year or less","Never","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"572","A couple times a month","A couple times a year or less","A couple times a month","Never","Never","A couple times a week","A couple times a year or less","A couple times a month","A couple times a year or less"
"573","Every day or almost every day","A couple times a week","A couple times a month","Every day or almost every day","A couple times a month","Every day or almost every day","Every day or almost every day","Every day or almost every day","A couple times a week"
"574","Never","Never","A couple times a week","A couple times a week","Never","Every day or almost every day","Never","Never","A couple times a year or less"
"575","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a month","A couple times a month","A couple times a week","A couple times a week","A couple times a week"
"576","Every day or almost every day","A couple times a year or less","A couple times a month","Never","A couple times a year or less","A couple times a month","A couple times a year or less","Never","Never"
"577","A couple times a week","A couple times a year or less","A couple times a week","A couple times a month","A couple times a year or less","A couple times a month","A couple times a month","A couple times a year or less","A couple times a month"
"578","Every day or almost every day","Every day or almost every day","A couple times a week","A couple times a month","Never","A couple times a week","A couple times a month","A couple times a month","A couple times a month"
"579","A couple times a month","A couple times a month","A couple times a week","A couple times a week","A couple times a year or less","A couple times a month","A couple times a week","Every day or almost every day","A couple times a week"
"580","A couple times a month","A couple times a month","A couple times a week","A couple times a month","A couple times a year or less","A couple times a month","A couple times a month","A couple times a week","A couple times a month"
"581","Every day or almost every day","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a month","A couple times a week","A couple times a year or less","A couple times a month","A couple times a month"
"582","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less","A couple times a month","A couple times a week","A couple times a year or less","A couple times a month","A couple times a month"
"583","A couple times a week","A couple times a month","A couple times a week","A couple times a month","Never","A couple times a year or less","A couple times a month","A couple times a month","A couple times a year or less"
"584","A couple times a week","A couple times a year or less","Every day or almost every day","A couple times a month","A couple times a week","A couple times a week","A couple times a month","A couple times a month","A couple times a month"
"585","Every day or almost every day","Every day or almost every day","A couple times a week","Every day or almost every day","Every day or almost every day","Every day or almost every day","A couple times a week","A couple times a week","A couple times a month"
"586","A couple times a year or less","A couple times a year or less","Every day or almost every day","A couple times a week","A couple times a year or less","Every day or almost every day","A couple times a year or less","A couple times a year or less","Never"
"587","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less","A couple times a month"
"588","Every day or almost every day","Every day or almost every day","A couple times a week","Every day or almost every day","A couple times a week","A couple times a week","A couple times a week","Every day or almost every day","A couple times a week"
"589","Every day or almost every day","A couple times a week","A couple times a month","Never","A couple times a month","A couple times a month","Never","A couple times a month","A couple times a week"
"590","A couple times a month","A couple times a month","A couple times a week","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less","A couple times a month"
"591","A couple times a week","A couple times a year or less","Every day or almost every day","A couple times a week","A couple times a month","A couple times a week","A couple times a week","A couple times a year or less","A couple times a year or less"
"592","A couple times a week","A couple times a year or less","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month"
"593","A couple times a year or less","A couple times a year or less","Every day or almost every day","Never","A couple times a year or less","A couple times a month","Every day or almost every day","A couple times a month","A couple times a month"
"594","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a week","A couple times a month","A couple times a month","A couple times a year or less"
"595","A couple times a week","A couple times a month","A couple times a week","A couple times a year or less","A couple times a week","A couple times a week","A couple times a year or less","A couple times a month","A couple times a month"
"596","Every day or almost every day","Every day or almost every day","Every day or almost every day","Every day or almost every day","A couple times a month","A couple times a month","Every day or almost every day","Every day or almost every day","A couple times a week"
"597","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month"
"598","A couple times a month","A couple times a month","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a month","A couple times a month","A couple times a month"
"599","Every day or almost every day","A couple times a week","A couple times a week","A couple times a month","A couple times a month","A couple times a week","A couple times a week","A couple times a week","A couple times a month"
"600","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less","A couple times a month","A couple times a month","A couple times a week","A couple times a year or less","A couple times a month"
"601","A couple times a week","A couple times a year or less","A couple times a week","A couple times a month","A couple times a year or less","A couple times a month","A couple times a week","A couple times a week","A couple times a year or less"
"602","Every day or almost every day","A couple times a week","A couple times a week","A couple times a month","Every day or almost every day","Every day or almost every day","Every day or almost every day","A couple times a week","A couple times a week"
"603","A couple times a month","A couple times a month","A couple times a week","A couple times a week","Never","Every day or almost every day","Never","A couple times a year or less","Never"
"604","A couple times a year or less","A couple times a month","A couple times a year or less","Never","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a year or less"
"605","A couple times a week","A couple times a month","A couple times a week","A couple times a month","A couple times a week","A couple times a week","A couple times a week","A couple times a year or less","A couple times a week"
"606","A couple times a week","A couple times a week","A couple times a week","A couple times a year or less","A couple times a month","A couple times a month","A couple times a month","A couple times a week","A couple times a month"
"607","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a year or less","Never"
"608","A couple times a month","A couple times a month","A couple times a week","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month"
"609","A couple times a month","A couple times a month","A couple times a month","Never","Never","A couple times a month","A couple times a year or less","A couple times a month","Never"
"610","A couple times a week","A couple times a year or less","Every day or almost every day","A couple times a week","A couple times a month","A couple times a month","A couple times a month","A couple times a week","A couple times a month"
"611","Every day or almost every day","A couple times a month","Every day or almost every day","A couple times a week","A couple times a week","A couple times a week","A couple times a month","A couple times a week","A couple times a year or less"
"612","A couple times a week","A couple times a year or less","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a week","Never","A couple times a month","A couple times a month"
"613","Never","Never","A couple times a week","Never","A couple times a year or less","Every day or almost every day","A couple times a year or less","A couple times a month","A couple times a year or less"
"614","A couple times a month","A couple times a year or less","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less","Never","A couple times a year or less","A couple times a year or less"
"615","A couple times a month","A couple times a year or less","Every day or almost every day","A couple times a month","A couple times a month","Every day or almost every day","A couple times a month","A couple times a month","A couple times a month"
"616","A couple times a month","A couple times a year or less","A couple times a month","A couple times a month","A couple times a year or less","Never","Never","A couple times a month","A couple times a week"
"617","A couple times a week","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"618","Every day or almost every day","Every day or almost every day","Every day or almost every day","Every day or almost every day","A couple times a week","A couple times a week","Every day or almost every day","A couple times a year or less","A couple times a year or less"
"619","A couple times a month","Never","A couple times a month","Never","A couple times a month","A couple times a month","A couple times a month","A couple times a month","Never"
"620","A couple times a week","A couple times a month","A couple times a month","Never","A couple times a year or less","Every day or almost every day","Every day or almost every day","Every day or almost every day","A couple times a year or less"
"621","A couple times a week","A couple times a week","Every day or almost every day","A couple times a year or less","Every day or almost every day","Every day or almost every day","A couple times a month","A couple times a month","A couple times a year or less"
"622","Every day or almost every day","A couple times a month","A couple times a month","Every day or almost every day","A couple times a month","A couple times a week","Every day or almost every day","A couple times a year or less","Never"
"623","A couple times a year or less","A couple times a month","A couple times a month","A couple times a year or less","A couple times a month","A couple times a month","A couple times a month","A couple times a week","A couple times a month"
"624","Never","Never","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a year or less","Never","A couple times a year or less","A couple times a year or less"
"625","A couple times a month","A couple times a week","A couple times a month","A couple times a week","A couple times a year or less","A couple times a month","A couple times a week","A couple times a month","A couple times a week"
"626","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a week"
"627","A couple times a week","A couple times a week","A couple times a week","Never","Never","A couple times a month","A couple times a month","A couple times a month","A couple times a month"
"628","Every day or almost every day","A couple times a week","A couple times a week","A couple times a year or less","A couple times a week","A couple times a week","A couple times a month","A couple times a month","A couple times a month"
"629","A couple times a week","Every day or almost every day","A couple times a week","Every day or almost every day","Every day or almost every day","A couple times a week","Every day or almost every day","A couple times a week","A couple times a week"
"630","A couple times a year or less","A couple times a year or less","Never","Never","A couple times a year or less","A couple times a year or less","Never","A couple times a year or less","A couple times a year or less"
"631","Never","Never","A couple times a month","Never","A couple times a year or less","A couple times a month","A couple times a year or less","Every day or almost every day","A couple times a year or less"
"632","A couple times a week","A couple times a month","A couple times a week","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month"
"633","A couple times a week","A couple times a week","Never","Never","Never","A couple times a month","Never","Never","A couple times a month"
"634","Every day or almost every day","Every day or almost every day","Every day or almost every day","A couple times a week","A couple times a month","A couple times a year or less","A couple times a week","A couple times a week","Never"
"635","Every day or almost every day","A couple times a week","A couple times a week","A couple times a month","Never","A couple times a month","A couple times a month","Never","Never"
"636","A couple times a week","A couple times a week","A couple times a week","Every day or almost every day","A couple times a month","A couple times a week","A couple times a month","A couple times a month","A couple times a week"
"637","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a year or less","Never","A couple times a year or less"
"638","A couple times a week","A couple times a week","Every day or almost every day","A couple times a week","A couple times a month","A couple times a month","A couple times a week","A couple times a week","A couple times a week"
"639","A couple times a month","A couple times a month","A couple times a week","A couple times a month","A couple times a month","A couple times a month","Every day or almost every day","A couple times a month","A couple times a month"
"640","A couple times a week","A couple times a month","A couple times a year or less","A couple times a year or less","Never","Never","A couple times a year or less","A couple times a week","A couple times a year or less"
"641","Every day or almost every day","A couple times a year or less","A couple times a week","A couple times a year or less","Never","A couple times a week","A couple times a week","A couple times a month","A couple times a year or less"
"642","A couple times a week","A couple times a week","Every day or almost every day","A couple times a month","A couple times a month","A couple times a week","A couple times a week","A couple times a week","A couple times a week"
"643","A couple times a week","A couple times a week","Every day or almost every day","A couple times a week","A couple times a week","A couple times a month","A couple times a week","Never","A couple times a month"
"644","Never","Never","A couple times a month","A couple times a week","A couple times a month","A couple times a month","Never","Never","A couple times a week"
"645","A couple times a week","A couple times a month","A couple times a week","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a week","A couple times a month","A couple times a week"
"646","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a month","A couple times a week","A couple times a month","Never","A couple times a year or less"
"647","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"648","A couple times a week","A couple times a year or less","A couple times a week","A couple times a week","A couple times a month","A couple times a month","A couple times a year or less","A couple times a month","A couple times a week"
"649","A couple times a week","A couple times a month","A couple times a year or less","Never","Never","A couple times a year or less","A couple times a year or less","A couple times a week","A couple times a month"
"650","A couple times a week","A couple times a month","A couple times a week","A couple times a month","A couple times a week","A couple times a month","A couple times a week","A couple times a month","Every day or almost every day"
"651","A couple times a year or less","Never","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less","Never","Never","Never"
"652","A couple times a week","Never","A couple times a month","A couple times a year or less","A couple times a month","A couple times a month","A couple times a week","A couple times a week","A couple times a month"
"653","A couple times a month","Never","A couple times a month","A couple times a week","A couple times a year or less","A couple times a month","Never","Never","Never"
"654","Never","Never","A couple times a year or less","A couple times a week","A couple times a year or less","A couple times a month","Never","Never","Never"
"655","A couple times a week","A couple times a year or less","Every day or almost every day","A couple times a month","A couple times a year or less","A couple times a week","Never","Never","A couple times a year or less"
"656","A couple times a month","A couple times a month","A couple times a week","A couple times a month","A couple times a month","A couple times a week","Never","Never","A couple times a month"
"657","A couple times a week","A couple times a week","Every day or almost every day","Every day or almost every day","Every day or almost every day","A couple times a week","A couple times a week","A couple times a week","A couple times a week"
"658","Never","A couple times a year or less","A couple times a year or less","A couple times a week","A couple times a month","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a month"
"659","A couple times a year or less","Never","Never","Never","A couple times a week","A couple times a year or less","Never","Never","Never"
"660","Never","Never","A couple times a week","Never","Never","A couple times a week","Never","Never","Never"
"661","A couple times a year or less","A couple times a year or less","A couple times a month","Never","Never","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a year or less"
"662","A couple times a month","Never","A couple times a week","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a week","A couple times a month","A couple times a month"
"663","A couple times a year or less","A couple times a year or less","A couple times a month","Never","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"664","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month"
"665","A couple times a year or less","Never","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"666","A couple times a month","A couple times a year or less","Every day or almost every day","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a month"
"667","Every day or almost every day","Every day or almost every day","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a month","Every day or almost every day","A couple times a year or less"
"668","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less","Never","A couple times a month","A couple times a year or less"
"669","A couple times a week","A couple times a week","A couple times a month","A couple times a month","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a week"
"670","Never","Never","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"671","Every day or almost every day","A couple times a month","A couple times a week","A couple times a month","A couple times a week","A couple times a week","A couple times a week","A couple times a week","Never"
"672","Never","Never","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","Never","Never","A couple times a year or less"
"673","A couple times a month","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less","Never","Never","Never"
"674","A couple times a month","A couple times a year or less","A couple times a year or less","Never","Never","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less"
"675","Never","Never","A couple times a week","Never","A couple times a week","A couple times a week","Never","A couple times a month","Never"
"676","A couple times a month","A couple times a year or less","Every day or almost every day","A couple times a month","A couple times a week","A couple times a week","A couple times a year or less","A couple times a year or less","Never"
"677","A couple times a month","A couple times a week","A couple times a month","Every day or almost every day","Every day or almost every day","A couple times a week","A couple times a year or less","A couple times a year or less","Never"
"678","A couple times a week","Never","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","Never","A couple times a year or less","A couple times a year or less"
"679","Every day or almost every day","A couple times a year or less","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a year or less"
"680","A couple times a week","A couple times a month","A couple times a week","Never","A couple times a month","A couple times a week","Every day or almost every day","A couple times a week","Every day or almost every day"
"681","A couple times a year or less","A couple times a year or less","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"682","Every day or almost every day","A couple times a month","A couple times a week","Never","A couple times a month","A couple times a month","A couple times a week","A couple times a month","A couple times a month"
