"","Hot To-Go Cups","Cold To-Go Cups","Plastic Bags","Paper Bags","Black Plastic Containers","Other Colour Plastic Containers","Disposable Cutlery","Plastic Straws","Styrofoam Containers"
"396","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less","Never","A couple times a year or less"
"397","Never","Never","A couple times a month","A couple times a month","A couple times a week","A couple times a month","A couple times a week","A couple times a year or less","A couple times a year or less"
"398","Every day or almost every day","A couple times a week","Every day or almost every day","Every day or almost every day","A couple times a month","A couple times a week","A couple times a month","A couple times a month","A couple times a month"
"399","A couple times a month","Never","A couple times a month","A couple times a year or less","Never","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"400","Every day or almost every day","A couple times a month","A couple times a week","Never","A couple times a month","A couple times a month","A couple times a week","A couple times a month","A couple times a month"
"401","Every day or almost every day","A couple times a month","A couple times a week","Never","A couple times a month","A couple times a year or less","A couple times a month","A couple times a month","Never"
"402","A couple times a month","Never","A couple times a month","Never","Never","A couple times a month","A couple times a month","A couple times a month","A couple times a month"
"403","Every day or almost every day","A couple times a month","A couple times a week","A couple times a week","A couple times a month","Never","A couple times a week","A couple times a month","A couple times a month"
"404","A couple times a year or less","Never","A couple times a week","A couple times a month","A couple times a month","Every day or almost every day","Never","Never","A couple times a year or less"
"405","A couple times a week","A couple times a week","Every day or almost every day","A couple times a month","A couple times a year or less","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less"
"406","A couple times a week","A couple times a week","A couple times a week","Every day or almost every day","A couple times a week","A couple times a week","A couple times a month","A couple times a week","Never"
"407","A couple times a week","A couple times a year or less","A couple times a week","A couple times a month","Never","A couple times a year or less","Never","A couple times a month","A couple times a year or less"
"408","A couple times a month","A couple times a week","A couple times a month","A couple times a year or less","A couple times a week","A couple times a week","A couple times a year or less","A couple times a month","A couple times a year or less"
"409","A couple times a week","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a month","A couple times a month","Never"
"410","A couple times a week","Never","Every day or almost every day","A couple times a week","A couple times a year or less","Every day or almost every day","A couple times a month","A couple times a month","A couple times a week"
"411","A couple times a year or less","Never","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"412","A couple times a year or less","A couple times a month","A couple times a week","A couple times a week","A couple times a week","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"413","A couple times a month","A couple times a week","A couple times a month","A couple times a month","A couple times a year or less","A couple times a month","A couple times a week","A couple times a month","A couple times a month"
